username,type
powerusers,Administrative
print,General Generic
printer,Network/Hardware
privacy,Departmental/Support
prod,General Generic
production,General Generic
prometheus,General Generic
protector,General Generic
proxy,Network/Hardware
proxyuser,Network/Hardware
public,System/Service
puppet,Application/Database
qa,Development/Test
qa1,Development/Test
rabbitmq,Application/Database
radius,Network/Hardware
rancher,Cloud/OS
rdp,User/Guest
rdpuser,User/Guest
read,General Generic
reader,General Generic
readonly,General Generic
recovery,System/Service
recoveryadmin,Administrative
redhat,Cloud/OS
redis,Application/Database
registry,Application/Database
remote,User/Guest
remoteuser,User/Guest
report,General Generic
reporting,General Generic
restore,System/Service
robot,Development/Test
root,Administrative
root-admin,Administrative
root1,Administrative
root2,Administrative
sa,Administrative
sales,Administrative
salt,Application/Database
sample,Administrative
sandbox,Application/Database
sap,Application/Database
sapcpic,Application/Database
scan,System/Service
scanner,System/Service
sec,General Generic
security,Departmental/Support
security-admin,Administrative
sensor,General Generic
sentinel,General Generic
service,System/Service
serviceaccount,System/Service
services,System/Service
sharepoint,General Generic
sharing,General Generic
siemens,Application/Database
site-admin,Administrative
soc,Departmental/Support
sql,Application/Database
sqladmin,Application/Database
sqluser,Application/Database
ssh,User/Guest
sshuser,User/Guest
staff,General Generic
stage,Development/Test
staging,Development/Test
standard,User/Guest
standarduser,User/Guest
storage,General Generic
storageadmin,Administrative
super,Administrative
super-admin,Administrative
superadmin,Administrative
superset,Application/Database
superuser,Administrative
supervisor,Administrative
support,Departmental/Support
svc,System/Service
svc_account,System/Service
svc_admin,Administrative
sync,System/Service
synology,Network/Hardware
sys,Administrative
sys1,Administrative
sys2,Administrative
sysadmin,Administrative
system,Administrative
system-admin,Administrative
tech,Departmental/Support
tech-admin,Administrative
technician,Development/Test
temp,Development/Test
temp1,Development/Test
temporary,Development/Test
tenantadmin,Administrative
terminal,User/Guest
test,Development/Test
test1,Development/Test
test2,Development/Test
testing,Development/Test
tmsadm,Application/Database
tomcat,Application/Database
training,General Generic
trial,Development/Test
ubuntu,Cloud/OS
ubuntuuser,Cloud/OS
user,User/Guest
user1,User/Guest
user123,User/Guest
user2,User/Guest
vault,Application/Database
visitor,Departmental/Support
vpn,Network/Hardware
vpnadmin,Network/Hardware
vpnuser,Network/Hardware
web,General Generic
web-admin,Administrative
webmaster,Administrative
wifi,Network/Hardware
wlan,Network/Hardware
wp-admin,Application/Database
wp-user,Application/Database
write,Departmental/Support
writer,Departmental/Support
www,Application/Database
www-data,Application/Database
zyxel,Network/Hardware
